movieId,title,genres_clean,overview_clean
804,Roman Holiday,Comedy Romance,overwhelmed suffocating schedule touring european princess ann takes off night while rome sedative took doctor kicks however falls asleep park bench found american reporter joe bradley takes back apartment safety work next morning joe finds out anns regal identity bets editor get exclusive interview romance soon gets way
909,Meet Me in St. Louis,Comedy Music Romance,year louis worlds fair four smith daughters learn lessons life love even prepare reluctant move new york
630,The Wizard of Oz,Adventure Family Fantasy,young dorothy finds herself magical world makes friends lion scarecrow tin man make way along yellow brick road talk wizard ask things miss lives wicked witch west only thing stop
599,Sunset Boulevard,Drama,hack screenwriter writes screenplay former silentfilm star faded hollywood obscurity
15,Citizen Kane,Mystery Drama,newspaper magnate charles foster kane taken mother boy made ward rich industrialist result wellmeaning tyrannical selfdestructive move makes rest life appears way reaction deeply wounding event
62,2001: A Space Odyssey,Science Fiction Mystery Adventure,humanity finds mysterious object buried beneath lunar surface sets off find origins help hal worlds advanced super computer
705,All About Eve,Drama,moment glimpses idol stage door eve harrington determined take reins power away great actress margo channing eve maneuvers way margos broadway role becomes sensation even causes turmoil lives margos director boyfriend playwright wife only cynical drama critic sees through eve admiring audacity perfect pattern deceit
223,Rebecca,Drama Mystery,selfconscious bride tormented memory husbands dead first wife
303,Notorious,Thriller Drama Romance,released shortly war classic hitchcock film illustrates battle german nazis american spies rio janeiro german businessman keeps wine cellar uranium ore
4174,Spellbound,Drama Mystery Thriller,anthony edwardes arrives vermont mental hospital replace outgoing hospital director constance peterson psychoanalyst discovers edwardes actually impostor man confesses real edwardes dead fears killed cannot recall anything peterson however convinced impostor innocent mans murder joins quest unravel amnesia through psychoanalysis
381,To Catch a Thief,Crime Drama Mystery Romance Thriller,delightful hitchcock film exburglar catch thief whos copying style gets accused wrong crimes time running out police close behind yet finds time little romance course classic masterpiece starring grace kelly cary grant
1859,Ninotchka,Comedy Romance,stern russian woman sent paris official business finds herself attracted man represents everything supposed detest
1939,Laura,Drama Mystery,police detective falls love woman whose murder hes investigating
3598,Lost Horizon,Adventure Fantasy Drama Mystery,british diplomat robert conway small group civilians crash land himalayas rescued people mysterious edenlike valley shangrila protected mountains world outside clouds world war gathering shangrila provides seductive escape worldweary conway
198,To Be or Not to Be,Comedy War,during nazi occupation poland acting troupe becomes embroiled polish soldiers efforts track down german spy
220,East of Eden,Drama,salinas valley around world war cal trask feels compete against overwhelming odds brother aron love father adam cal frustrated turn reaction war get ahead business life relate estranged mother
3529,The Thin Man,Comedy Crime Mystery,four year absence one time detective nick charles returns new york new wife nora dog asta nick reconnects many old cronies several eccentric characters say least hes approached dorothy wynant whose inventor father clyde wynant suspected murdering stepmother father left planned trip months contact nick isnt keen resuming former profession eggedon wife nora thinks exciting agrees help out solves case announcing identity killer dinner party suspects
3083,Mr. Smith Goes to Washington,Comedy Drama,naive idealistic jefferson smith leader boy rangers appointed lark spineless governor state reunited states senior senatorpresidential hopeful childhood hero senator joseph paine washington however smith discovers many shortcomings political process earnest goal national boys camp leads conflict state political boss jim taylor taylor first tries corrupt smith later attempts destroy smith through scandal
900,Bringing Up Baby,Comedy Romance,david huxley waiting get bone needs museum collection through series strange circumstances meets susan vance duo series misadventures include leopard called baby
260,The 39 Steps,Action Thriller Mystery,while vacation london canadian richard hannay becomes embroiled international spy ring related mysterious steps meets agent annabella smith soon killed apartment elude police hunting murder while tries stop professor jordan sending secrets out country hannay assisted pamela unwilling accomplice discovers truth
488,The African Queen,Adventure War Romance,start first world war middle africas nowhere gin soaked riverboat captain persuaded strongwilled missionary down river faceoff german warship
261,Cat on a Hot Tin Roof,Drama Romance,brick alcoholic exfootball player drinks days away resists affections wife maggie reunion father big daddy dying cancer jogs host memories revelations father son
2033,Infinity,Drama Romance,story early life genius nobel prizewinning physicist richard feynman
